LINESTRING (-70.075867 -17.544285, -70.132934 -17.546246)
LINESTRING (-70.132934 -17.546246, -70.169974 -17.588187)
LINESTRING (-70.169974 -17.588187, -70.237453 -17.589667)
LINESTRING (-70.237453 -17.589667, -70.331795 -17.509316)
LINESTRING (-70.331795 -17.509316, -70.345787 -17.46074)
LINESTRING (-70.345787 -17.46074, -70.274608 -17.389261)
LINESTRING (-70.274608 -17.389261, -70.264574 -17.388143)
LINESTRING (-70.264574 -17.388143, -70.223236 -17.412768)
LINESTRING (-70.223236 -17.412768, -70.215942 -17.442198)
LINESTRING (-70.215942 -17.442198, -70.169986 -17.474211)
LINESTRING (-70.169986 -17.474211, -70.090527 -17.459068)
LINESTRING (-70.274608 -17.389261, -70.345787 -17.46074)
LINESTRING (-70.345787 -17.46074, -70.400514 -17.421234)
LINESTRING (-70.400514 -17.421234, -70.363387 -17.374385)
LINESTRING (-70.363387 -17.374385, -70.305507 -17.33761)
LINESTRING (-70.305507 -17.33761, -70.274608 -17.389261)
LINESTRING (-70.128746 -17.319209, -70.147345 -17.353131)
LINESTRING (-70.147345 -17.353131, -70.106074 -17.36718)
LINESTRING (-70.106074 -17.36718, -70.042666 -17.352423)
LINESTRING (-70.042666 -17.352423, -70.086523 -17.429754)
LINESTRING (-70.086523 -17.429754, -70.090527 -17.459068)
